Round,Attack,Sample_Index,Sample_Path,Seed_Path
2,CW,6,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,7,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,8,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_2.npy
2,CW,9,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_26.npy
2,CW,10,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_20.npy
2,CW,11,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_23.npy
2,CW,12,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_24.npy
2,CW,13,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,0,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,1,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_6.npy
3,DeepFool,2,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_11.npy
3,DeepFool,3,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_15.npy
3,DeepFool,4,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_13.npy
3,DeepFool,5,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,6,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_25.npy
3,DeepFool,7,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_0.npy
3,DeepFool,8,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,9,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_2.npy
3,DeepFool,10,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_12.npy
3,DeepFool,11,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_9.npy
3,DeepFool,12,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_19.npy
3,DeepFool,13,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,14,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_14.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_23.npy
3,DeepFool,15,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_15.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_20.npy
3,DeepFool,16,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_16.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_2.npy
3,DeepFool,17,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_17.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_9.npy
3,DeepFool,18,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_18.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_6.npy
3,DeepFool,19,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_19.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,20,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_20.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,21,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_21.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,22,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_22.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_3.npy
3,DeepFool,23,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_23.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,24,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_24.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_24.npy
3,DeepFool,25,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_25.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_13.npy
3,DeepFool,26,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_26.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_12.npy
3,DeepFool,27,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_27.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_4.npy
3,DeepFool,28,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_28.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_10.npy
3,DeepFool,29,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_29.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
4,Universal,0,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_28.npy
4,Universal,1,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_26.npy
4,Universal,2,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_12.npy
4,Universal,3,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_5.npy
4,Universal,4,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_18.npy
4,Universal,5,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_20.npy
4,Universal,6,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_9.npy
4,Universal,7,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_1.npy
4,Universal,8,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_25.npy
4,Universal,9,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_6.npy
4,Universal,10,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_11.npy
4,Universal,11,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_1.npy
4,Universal,12,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_9.npy
4,Universal,13,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_3.npy
5,PGD,0,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_7.npy
5,PGD,1,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
5,PGD,2,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_2.npy
5,PGD,3,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_9.npy
5,PGD,4,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_4.npy
5,PGD,5,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_6.npy
5,PGD,6,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_4_attack_Universal_sample_0.npy
5,PGD,7,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_15.npy
5,PGD,8,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_21.npy
5,PGD,9,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_14.npy
5,PGD,10,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
5,PGD,11,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_11.npy
5,PGD,12,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_1.npy
5,PGD,13,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_18.npy
5,PGD,14,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_14.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_23.npy
5,PGD,15,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_15.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_22.npy
5,PGD,16,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_16.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_2.npy
5,PGD,17,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_17.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
5,PGD,18,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_18.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_21.npy
5,PGD,19,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_19.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_25.npy
5,PGD,20,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_20.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
5,PGD,21,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_21.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_8.npy
5,PGD,22,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_22.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_17.npy
5,PGD,23,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_23.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_3.npy
5,PGD,24,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_24.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_16.npy
5,PGD,25,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_25.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_6.npy
5,PGD,26,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_26.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_23.npy
5,PGD,27,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_27.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_6.npy
5,PGD,28,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_28.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_10.npy
5,PGD,29,PyTorch/TorchResNet50/adversarial_samples/round_5_attack_PGD_sample_29.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_9.npy
6,CW,0,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_26.npy
6,CW,1,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_25.npy
6,CW,2,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_22.npy
6,CW,3,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_14.npy
6,CW,4,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_8.npy
6,CW,5,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
6,CW,6,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_12.npy
6,CW,7,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_8.npy
6,CW,8,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_9.npy
6,CW,9,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_0.npy
6,CW,10,PyTorch/TorchResNet50/adversarial_samples/round_6_attack_CW_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_3.npy
