"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_BatchNorm2d_532_forward_input.0","NN_BatchNorm2d_532_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_532_forward_output","NN_BatchNorm2d_532_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_533_forward_input.0","NN_BatchNorm2d_533_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_533_forward_output","NN_BatchNorm2d_533_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_534_forward_input.0","NN_BatchNorm2d_534_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_534_forward_output","NN_BatchNorm2d_534_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_535_forward_input.0","NN_BatchNorm2d_535_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_535_forward_output","NN_BatchNorm2d_535_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_536_forward_input.0","NN_BatchNorm2d_536_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_536_forward_output","NN_BatchNorm2d_536_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_537_forward_input.0","NN_BatchNorm2d_537_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_537_forward_output","NN_BatchNorm2d_537_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
