"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_0_forward_input.0","NN_Conv2d_0_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_0_forward_output","NN_Conv2d_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_1_forward_input.0","NN_Conv2d_1_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_1_forward_output","NN_Conv2d_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_2_forward_input.0","NN_Conv2d_2_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_2_forward_output","NN_Conv2d_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_3_forward_input.0","NN_Conv2d_3_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_3_forward_output","NN_Conv2d_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_4_forward_input.0","NN_Conv2d_4_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_4_forward_output","NN_Conv2d_4_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_5_forward_input.0","NN_Conv2d_5_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_5_forward_output","NN_Conv2d_5_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_6_forward_input.0","NN_Conv2d_6_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_6_forward_output","NN_Conv2d_6_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_0_forward_input.0","NN_BatchNorm2d_0_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_0_forward_output","NN_BatchNorm2d_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_1_forward_input.0","NN_BatchNorm2d_1_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_1_forward_output","NN_BatchNorm2d_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_2_forward_input.0","NN_BatchNorm2d_2_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_2_forward_output","NN_BatchNorm2d_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_3_forward_input.0","NN_BatchNorm2d_3_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_3_forward_output","NN_BatchNorm2d_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_4_forward_input.0","NN_BatchNorm2d_4_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_4_forward_output","NN_BatchNorm2d_4_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_5_forward_input.0","NN_BatchNorm2d_5_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_5_forward_output","NN_BatchNorm2d_5_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_6_forward_input.0","NN_BatchNorm2d_6_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_6_forward_output","NN_BatchNorm2d_6_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_0_forward_input.0","NN_ReLU_0_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_0_forward_output","NN_ReLU_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_1_forward_input.0","NN_ReLU_1_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_1_forward_output","NN_ReLU_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_2_forward_input.0","NN_ReLU_2_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_2_forward_output","NN_ReLU_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_3_forward_input.0","NN_ReLU_3_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_3_forward_output","NN_ReLU_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_4_forward_input.0","NN_ReLU_4_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_4_forward_output","NN_ReLU_4_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_5_forward_input.0","NN_ReLU_5_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_5_forward_output","NN_ReLU_5_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_ReLU_6_forward_input.0","NN_ReLU_6_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.04%","0.66867","0.15572, 1.78985"
"NN_ReLU_6_forward_output","NN_ReLU_6_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_0_forward_input.0","NN_MaxPool2d_0_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_0_forward_output","NN_MaxPool2d_0_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_1_forward_input.0","NN_MaxPool2d_1_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_1_forward_output","NN_MaxPool2d_1_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_2_forward_input.0","NN_MaxPool2d_2_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_2_forward_output","NN_MaxPool2d_2_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_3_forward_input.0","NN_MaxPool2d_3_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_3_forward_output","NN_MaxPool2d_3_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_4_forward_input.0","NN_MaxPool2d_4_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_4_forward_output","NN_MaxPool2d_4_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_5_forward_input.0","NN_MaxPool2d_5_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_5_forward_output","NN_MaxPool2d_5_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_6_forward_input.0","NN_MaxPool2d_6_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_MaxPool2d_6_forward_output","NN_MaxPool2d_6_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_7_forward_input.0","NN_BatchNorm2d_7_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_7_forward_output","NN_BatchNorm2d_7_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_8_forward_input.0","NN_BatchNorm2d_8_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_8_forward_output","NN_BatchNorm2d_8_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_9_forward_input.0","NN_BatchNorm2d_9_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_9_forward_output","NN_BatchNorm2d_9_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_10_forward_input.0","NN_BatchNorm2d_10_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_10_forward_output","NN_BatchNorm2d_10_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_11_forward_input.0","NN_BatchNorm2d_11_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_11_forward_output","NN_BatchNorm2d_11_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_12_forward_input.0","NN_BatchNorm2d_12_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_12_forward_output","NN_BatchNorm2d_12_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_13_forward_input.0","NN_BatchNorm2d_13_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_BatchNorm2d_13_forward_output","NN_BatchNorm2d_13_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"Functional_relu_0_forward_input.0","Functional_relu_0_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"Functional_relu_0_forward_output","Functional_relu_0_forward_output","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_7_forward_input.0","NN_Conv2d_7_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_7_forward_output","NN_Conv2d_7_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_8_forward_input.0","NN_Conv2d_8_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_8_forward_output","NN_Conv2d_8_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_9_forward_input.0","NN_Conv2d_9_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_9_forward_output","NN_Conv2d_9_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_10_forward_input.0","NN_Conv2d_10_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_10_forward_output","NN_Conv2d_10_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_11_forward_input.0","NN_Conv2d_11_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_11_forward_output","NN_Conv2d_11_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_12_forward_input.0","NN_Conv2d_12_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_12_forward_output","NN_Conv2d_12_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_Conv2d_13_forward_input.0","NN_Conv2d_13_forward_input.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_13_forward_output","NN_Conv2d_13_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_14_forward_input.0","NN_BatchNorm2d_14_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_14_forward_output","NN_BatchNorm2d_14_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_15_forward_input.0","NN_BatchNorm2d_15_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_15_forward_output","NN_BatchNorm2d_15_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_16_forward_input.0","NN_BatchNorm2d_16_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_16_forward_output","NN_BatchNorm2d_16_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_17_forward_input.0","NN_BatchNorm2d_17_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_17_forward_output","NN_BatchNorm2d_17_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_18_forward_input.0","NN_BatchNorm2d_18_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_18_forward_output","NN_BatchNorm2d_18_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_19_forward_input.0","NN_BatchNorm2d_19_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_19_forward_output","NN_BatchNorm2d_19_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"NN_BatchNorm2d_20_forward_input.0","NN_BatchNorm2d_20_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66321"
"NN_BatchNorm2d_20_forward_output","NN_BatchNorm2d_20_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"Functional_relu_1_forward_input.0","Functional_relu_1_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.02%","-0.10339","0.32351, 1.66320"
"Functional_relu_1_forward_output","Functional_relu_1_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_14_forward_input.0","NN_Conv2d_14_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_14_forward_output","NN_Conv2d_14_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_15_forward_input.0","NN_Conv2d_15_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_15_forward_output","NN_Conv2d_15_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_16_forward_input.0","NN_Conv2d_16_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_16_forward_output","NN_Conv2d_16_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_17_forward_input.0","NN_Conv2d_17_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_17_forward_output","NN_Conv2d_17_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_18_forward_input.0","NN_Conv2d_18_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_18_forward_output","NN_Conv2d_18_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_19_forward_input.0","NN_Conv2d_19_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_19_forward_output","NN_Conv2d_19_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"NN_Conv2d_20_forward_input.0","NN_Conv2d_20_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","23.40%","0.25880","0.22849, 1.10741"
"NN_Conv2d_20_forward_output","NN_Conv2d_20_forward_output","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"Functional_concat_0_forward_input.0.0","Torch_cat_0_forward_input.0.0","(10, 64, 56, 56)","(10, 64, 56, 56)","True","100.00%","1.00000","0.00000, 0.00000"
"Functional_concat_0_forward_input.0.1","Torch_cat_0_forward_input.0.1","(10, 32, 56, 56)","(10, 32, 56, 56)","False","0.07%","0.22261","0.10262, 0.56671"
"","Torch_cat_0_forward_output","","(10, 96, 56, 56)","False","0.00%","nan","nan, nan"
"Functional_concat_0_forward_output","","(10, 96, 56, 56)","","False","0.00%","nan","nan, nan"
"NN_BatchNorm2d_21_forward_input.0","NN_BatchNorm2d_21_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_21_forward_output","NN_BatchNorm2d_21_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_22_forward_input.0","NN_BatchNorm2d_22_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_22_forward_output","NN_BatchNorm2d_22_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_23_forward_input.0","NN_BatchNorm2d_23_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_23_forward_output","NN_BatchNorm2d_23_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_24_forward_input.0","NN_BatchNorm2d_24_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_24_forward_output","NN_BatchNorm2d_24_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_25_forward_input.0","NN_BatchNorm2d_25_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_25_forward_output","NN_BatchNorm2d_25_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_26_forward_input.0","NN_BatchNorm2d_26_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_26_forward_output","NN_BatchNorm2d_26_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_27_forward_input.0","NN_BatchNorm2d_27_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"NN_BatchNorm2d_27_forward_output","NN_BatchNorm2d_27_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"Functional_relu_2_forward_input.0","Functional_relu_2_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","66.69%","0.98075","0.04274, 0.56671"
"Functional_relu_2_forward_output","Functional_relu_2_forward_output","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_21_forward_input.0","NN_Conv2d_21_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_21_forward_output","NN_Conv2d_21_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_22_forward_input.0","NN_Conv2d_22_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_22_forward_output","NN_Conv2d_22_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_23_forward_input.0","NN_Conv2d_23_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_23_forward_output","NN_Conv2d_23_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_24_forward_input.0","NN_Conv2d_24_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_24_forward_output","NN_Conv2d_24_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_25_forward_input.0","NN_Conv2d_25_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_25_forward_output","NN_Conv2d_25_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_26_forward_input.0","NN_Conv2d_26_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_26_forward_output","NN_Conv2d_26_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_Conv2d_27_forward_input.0","NN_Conv2d_27_forward_input.0","(10, 96, 56, 56)","(10, 96, 56, 56)","False","72.48%","0.99099","0.02927, 0.35985"
"NN_Conv2d_27_forward_output","NN_Conv2d_27_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_BatchNorm2d_28_forward_input.0","NN_BatchNorm2d_28_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_BatchNorm2d_28_forward_output","NN_BatchNorm2d_28_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36994"
"NN_BatchNorm2d_29_forward_input.0","NN_BatchNorm2d_29_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_BatchNorm2d_29_forward_output","NN_BatchNorm2d_29_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36994"
"NN_BatchNorm2d_30_forward_input.0","NN_BatchNorm2d_30_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_BatchNorm2d_30_forward_output","NN_BatchNorm2d_30_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36994"
"NN_BatchNorm2d_31_forward_input.0","NN_BatchNorm2d_31_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
"NN_BatchNorm2d_31_forward_output","NN_BatchNorm2d_31_forward_output","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36994"
"NN_BatchNorm2d_32_forward_input.0","NN_BatchNorm2d_32_forward_input.0","(10, 128, 56, 56)","(10, 128, 56, 56)","False","0.03%","-0.03323","0.23586, 1.36995"
