"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_BatchNorm2d_44","NN_BatchNorm2d_44"
"NN_BatchNorm2d_45","NN_BatchNorm2d_45"
"NN_BatchNorm2d_46","NN_BatchNorm2d_46"
"NN_BatchNorm2d_47","NN_BatchNorm2d_47"
"Functional_relu_6","Functional_relu_6"
"","LAYER_features_dense_0_3_conv1"
"NN_Conv2d_42","NN_Conv2d_42"
"NN_Conv2d_43","NN_Conv2d_43"
"NN_Conv2d_44","NN_Conv2d_44"
"NN_Conv2d_45","NN_Conv2d_45"
"NN_Conv2d_46","NN_Conv2d_46"
"NN_Conv2d_47","NN_Conv2d_47"
"","LAYER_features_dense_0_3_bn2"
"NN_BatchNorm2d_48","NN_BatchNorm2d_48"
"NN_BatchNorm2d_49","NN_BatchNorm2d_49"
"NN_BatchNorm2d_50","NN_BatchNorm2d_50"
"NN_BatchNorm2d_51","NN_BatchNorm2d_51"
"NN_BatchNorm2d_52","NN_BatchNorm2d_52"
"NN_BatchNorm2d_53","NN_BatchNorm2d_53"
"Functional_relu_7","Functional_relu_7"
"","LAYER_features_dense_0_3_conv2"
"NN_Conv2d_48","NN_Conv2d_48"
"NN_Conv2d_49","NN_Conv2d_49"
"NN_Conv2d_50","NN_Conv2d_50"
"NN_Conv2d_51","NN_Conv2d_51"
"NN_Conv2d_52","NN_Conv2d_52"
"NN_Conv2d_53","NN_Conv2d_53"
"Functional_concat_3","Torch_cat_3
LAYER_features_dense_0_3
LAYER_features_dense_0_4_bn1"
"NN_BatchNorm2d_54","NN_BatchNorm2d_54"
"NN_BatchNorm2d_55","NN_BatchNorm2d_55"
"NN_BatchNorm2d_56","NN_BatchNorm2d_56"
"NN_BatchNorm2d_57","NN_BatchNorm2d_57"
"NN_BatchNorm2d_58","NN_BatchNorm2d_58"
"NN_BatchNorm2d_59","NN_BatchNorm2d_59"
"Functional_relu_8","Functional_relu_8"
"","LAYER_features_dense_0_4_conv1"
"NN_Conv2d_54","NN_Conv2d_54"
"NN_Conv2d_55","NN_Conv2d_55"
"NN_Conv2d_56","NN_Conv2d_56"
"NN_Conv2d_57","NN_Conv2d_57"
"NN_Conv2d_58","NN_Conv2d_58"
"NN_Conv2d_59","NN_Conv2d_59"
"","LAYER_features_dense_0_4_bn2"
"NN_BatchNorm2d_60","NN_BatchNorm2d_60"
"NN_BatchNorm2d_61","NN_BatchNorm2d_61"
"NN_BatchNorm2d_62","NN_BatchNorm2d_62"
"NN_BatchNorm2d_63","NN_BatchNorm2d_63"
"NN_BatchNorm2d_64","NN_BatchNorm2d_64"
"NN_BatchNorm2d_65","NN_BatchNorm2d_65"
"Functional_relu_9","Functional_relu_9"
"","LAYER_features_dense_0_4_conv2"
"NN_Conv2d_60","NN_Conv2d_60"
"NN_Conv2d_61","NN_Conv2d_61"
"NN_Conv2d_62","NN_Conv2d_62"
"NN_Conv2d_63","NN_Conv2d_63"
"NN_Conv2d_64","NN_Conv2d_64"
"NN_Conv2d_65","NN_Conv2d_65"
"Functional_concat_4","Torch_cat_4
LAYER_features_dense_0_4
LAYER_features_dense_0_5_bn1"
"NN_BatchNorm2d_66","NN_BatchNorm2d_66"
"NN_BatchNorm2d_67","NN_BatchNorm2d_67"
"NN_BatchNorm2d_68","NN_BatchNorm2d_68"
"NN_BatchNorm2d_69","NN_BatchNorm2d_69"
"NN_BatchNorm2d_70","NN_BatchNorm2d_70"
"NN_BatchNorm2d_71","NN_BatchNorm2d_71"
"Functional_relu_10","Functional_relu_10"
"","LAYER_features_dense_0_5_conv1"
"NN_Conv2d_66","NN_Conv2d_66"
"NN_Conv2d_67","NN_Conv2d_67"
"NN_Conv2d_68","NN_Conv2d_68"
"NN_Conv2d_69","NN_Conv2d_69"
"NN_Conv2d_70","NN_Conv2d_70"
"NN_Conv2d_71","NN_Conv2d_71"
"","LAYER_features_dense_0_5_bn2"
"NN_BatchNorm2d_72","NN_BatchNorm2d_72"
"NN_BatchNorm2d_73","NN_BatchNorm2d_73"
"NN_BatchNorm2d_74","NN_BatchNorm2d_74"
"NN_BatchNorm2d_75","NN_BatchNorm2d_75"
"NN_BatchNorm2d_76","NN_BatchNorm2d_76"
"NN_BatchNorm2d_77","NN_BatchNorm2d_77"
"Functional_relu_11","Functional_relu_11"
"","LAYER_features_dense_0_5_conv2"
"NN_Conv2d_72","NN_Conv2d_72"
"NN_Conv2d_73","NN_Conv2d_73"
"NN_Conv2d_74","NN_Conv2d_74"
"NN_Conv2d_75","NN_Conv2d_75"
"NN_Conv2d_76","NN_Conv2d_76"
"NN_Conv2d_77","NN_Conv2d_77"
"Functional_concat_5","Torch_cat_5
LAYER_features_dense_0_5
LAYER_features_dense_0
LAYER_features_trans_0_bn"
"NN_BatchNorm2d_78","NN_BatchNorm2d_78"
"NN_BatchNorm2d_79","NN_BatchNorm2d_79"
"NN_BatchNorm2d_80","NN_BatchNorm2d_80"
"NN_BatchNorm2d_81","NN_BatchNorm2d_81"
"NN_BatchNorm2d_82","NN_BatchNorm2d_82"
"NN_BatchNorm2d_83","NN_BatchNorm2d_83"
"Functional_relu_12","Functional_relu_12"
"","LAYER_features_trans_0_conv"
"NN_Conv2d_78","NN_Conv2d_78"
"NN_Conv2d_79","NN_Conv2d_79"
"NN_Conv2d_80","NN_Conv2d_80"
"NN_Conv2d_81","NN_Conv2d_81"
"NN_Conv2d_82","NN_Conv2d_82"
"NN_Conv2d_83","NN_Conv2d_83"
"","LAYER_features_trans_0_pool"
"NN_AvgPool2d_0","NN_AvgPool2d_0"
"NN_AvgPool2d_1","NN_AvgPool2d_1"
"NN_AvgPool2d_2","NN_AvgPool2d_2"
