"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack(fallback_random, epilogue_fusion, shape_padding, dynamic))",Total_cnt,Same_cnt,Prob
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,1899,0.8620063549704948
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1942,0.8815251929187472
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2184,0.9913753971856559
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,2179,0.9891057648660917
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,1443,0.655015887426237
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,1972,0.8951429868361326
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,1453,0.6595551520653654
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,2047,0.929187471629596
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,2143,0.9727644121652292
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,2032,0.9223785746709033
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2203,1.0
